meanHue, mom1, mom2, mom3, mom4, mom5, mom6, mom7,stdDevHue,entropy,area,distance,class
0.0657844, 0.00147873,4.32211e-007,1.42296e-009,7.60037e-011,-2.20032e-020,-3.13824e-014,1.18575e-020,39.9714,2.62444,17685.5,774,bicchiere
0.0597136, 0.00165326,5.55887e-007,2.06325e-009,1.20803e-010,-5.94572e-020,-8.2863e-014,-1.01092e-020,38.6291,2.43072,17808.5,773,bicchiere
0.0756597, 0.00106745,2.76824e-008,4.17484e-010,9.73369e-011,1.05426e-020,5.02744e-015,1.65489e-020,41.778,2.87595,23278.5,586,bicchiere
0.0405672, 0.00315336,4.73623e-006,3.93664e-009,6.72056e-010,1.07968e-018,7.7435e-013,1.70913e-019,33.7148,1.74206,15696.5,686,bicchiere
0.0750819, 0.00109191,3.13105e-008,4.42109e-010,1.13486e-010,1.47558e-020,7.37484e-015,2.0699e-020,41.7024,2.87095,23297.5,593,bicchiere
0.0396544, 0.00155676,1.87879e-007,9.2604e-010,9.60687e-010,4.88702e-019,3.96671e-013,-7.63041e-019,33.1751,1.71208,23394,592,bicchiere
0.0394547, 0.00152274,2.47159e-007,7.30775e-010,1.07019e-009,8.80188e-019,5.30953e-013,-3.47822e-019,33.1054,1.71976,23396,589,bicchiere
0.0444855, 0.00239661,6.15145e-007,4.36695e-009,2.39768e-010,-4.83509e-020,-9.44274e-014,-2.40533e-019,34.94,1.8939,21961.5,636,bicchiere
0.0392907, 0.00287484,7.12456e-007,7.06046e-009,5.15889e-010,1.03319e-019,-2.9946e-013,9.79144e-019,33.186,1.72664,21893,635,bicchiere
0.0390374, 0.00321597,2.49401e-006,9.45973e-009,1.52252e-009,5.19607e-018,1.66265e-012,2.52726e-018,32.9632,1.68322,21944,638,bicchiere
0.0370315, 0.00341287,2.60622e-006,1.23076e-008,1.73298e-009,7.70705e-018,1.77778e-012,2.15786e-018,32.2623,1.61513,21976.5,633,bicchiere
0.0376133, 0.00334094,2.40484e-006,1.25121e-008,1.90746e-009,9.03453e-018,1.76606e-012,2.28317e-018,32.4523,1.63687,21975.5,640,bicchiere
0.0566596, 0.0019093,1.4577e-006,6.94475e-010,5.62776e-010,2.38179e-019,6.30812e-013,2.58948e-019,38.3196,2.25302,14692,722,bicchiere
0.0343619, 0.00171837,2.23883e-007,1.65632e-009,1.36144e-009,-2.04379e-018,1.52271e-013,5.0906e-020,31.2987,1.54508,19323.5,740,bicchiere
0.0334372, 0.00173943,3.77162e-007,1.44017e-009,1.27129e-009,-9.9272e-019,4.69447e-013,-1.40483e-018,30.9514,1.51733,19308.5,735,bicchiere
0.0353023, 0.00178034,2.05377e-007,2.17027e-009,1.30765e-009,-2.14002e-018,2.51566e-013,-5.22584e-019,31.6695,1.57647,19305.5,735,bicchiere
0.0293452, 0.0020185,6.63209e-007,3.7032e-009,4.46978e-009,1.64395e-017,3.63104e-012,-7.77459e-018,29.2756,1.3636,22362,616,bicchiere
0.028903, 0.00211239,8.28665e-007,3.79283e-009,5.33688e-009,2.24314e-017,4.8581e-012,-8.56552e-018,29.0691,1.35819,22311.5,614,bicchiere
0.0295598, 0.0020093,7.61439e-007,2.70104e-009,4.33832e-009,1.43537e-017,3.78227e-012,-3.8099e-018,29.4595,1.36247,22231,613,bicchiere
0.108265, 0.000917235,1.38104e-007,1.31536e-010,6.05715e-012,1.27891e-022,1.80968e-015,1.13469e-022,46.2049,3.61694,20370,676,bicchiere
0.0306435, 0.00316728,1.082e-006,1.26095e-008,1.79985e-009,4.24518e-018,6.22976e-013,-7.44969e-018,29.9595,1.40119,20324.5,678,bicchiere
0.0396369, 0.00331929,3.96429e-006,2.28135e-009,2.80036e-009,2.26515e-018,5.55287e-012,6.70588e-018,33.2064,1.72284,21781,508,bicchiere
